1(48)	1.00	1018.32	1269.50	1157.05	0.96	1079.32	1340.06	1209.04
2(96)	1.62	651.83	759.11	714.12	1.38	760.37	879.42	838.56
4(192)	2.37	468.23	506.94	487.92	2.10	524.71	594.04	550.93
