1(48)	1.00    364.39	451.02	398.32	0.92	388.79	481.41	433.72
2(96)	1.47	256.12	279.38	270.96	1.46	265.98	281.26	272.32
4(192)	1.95	189.84	218.92	204.03	2.04	188.75	208.34	195.82
